"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms","Hop_24_IP","Hop_24_Latency_ms","Hop_25_IP","Hop_25_Latency_ms"
"2025-11-05 03:57:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","112","True","78","Bom","10.50.112.1","12","*","0","201.61.35.194","14","*","0","*","0","*","0","142.251.134.46","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 04:00:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","55","True","100","Excelente","10.50.112.1","13","*","0","201.61.35.194","5","*","0","*","0","*","0","209.85.244.84","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 04:03:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","104","True","80","Bom","10.50.112.1","10","*","0","201.61.35.194","13","*","0","74.125.52.64","22","142.250.63.175","23","209.85.251.13","20","142.250.78.142","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 04:06:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","141","True","72","Bom","10.50.112.1","11","*","0","201.61.35.194","14","*","0","74.125.52.64","16","142.251.228.185","16","142.250.237.131","18","172.217.30.110","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 04:09:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","45","True","100","Excelente","10.50.112.1","12","*","0","201.61.35.194","16","*","0","74.125.52.64","11","209.85.143.231","9","142.250.230.117","12","172.217.30.110","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 04:12:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","166","True","67","Aceitável","10.50.112.1","4","*","0","201.61.35.194","14","*","0","*","0","*","0","192.178.110.240","6","192.178.84.58","7","209.85.253.1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 04:15:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","31","True","100","Excelente","10.50.112.1","17","*","0","201.61.35.194","12","187.100.57.78","8","*","0","*","0","172.253.53.126","36","74.125.37.181","30","142.251.134.46","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 04:16:24","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","39","True","100","Excelente","10.0.0.1","9","192.168.0.1","4","10.39.124.1","13","201.6.72.97","12","201.6.64.212","14","201.6.65.228","14","*","0","*","0","209.85.251.12","17","142.250.230.117","23","209.85.251.83","15","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","",""
"2025-11-05 04:18:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","82","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","12","*","0","*","0","*","0","108.170.231.64","10","74.125.253.159","11","142.251.134.46","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 04:21:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","78","True","100","Excelente","10.50.112.1","11","*","0","201.61.35.194","11","*","0","74.125.52.64","5","142.250.63.175","6","209.85.252.161","6","142.250.78.142","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
