"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms","Hop_24_IP","Hop_24_Latency_ms","Hop_25_IP","Hop_25_Latency_ms","Hop_26_IP","Hop_26_Latency_ms","Hop_27_IP","Hop_27_Latency_ms","Hop_28_IP","Hop_28_Latency_ms"
"2025-11-04 01:33:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","23","True","100","Excelente","10.50.112.1","3","*","0","201.61.35.194","5","*","0","74.125.52.64","6","209.85.143.231","6","142.250.237.131","5","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:36:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","69","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","9","*","0","74.125.52.64","5","209.85.143.231","6","142.250.230.117","5","172.217.30.110","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:39:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","26","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","6","*","0","74.125.52.64","6","142.251.228.185","8","142.250.230.117","6","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:42:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","77","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","30","*","0","74.125.52.64","5","142.250.63.175","19","192.178.110.191","6","172.217.29.206","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:45:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","25","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","28","*","0","74.125.52.64","8","192.178.82.55","6","192.178.110.189","5","172.217.29.206","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:48:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","74","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","5","*","0","74.125.52.64","6","142.251.228.185","7","142.250.230.117","5","172.217.30.110","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:51:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","80","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","5","*","0","74.125.52.64","6","192.178.82.55","6","209.85.252.161","5","142.250.78.142","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:54:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","30","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","32","*","0","74.125.52.64","6","142.250.63.175","6","209.85.252.161","6","142.250.78.142","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:57:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","70","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","6","*","0","74.125.52.64","6","209.85.143.231","6","142.250.237.131","6","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 02:00:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","90","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","7","*","0","*","0","*","0","74.125.253.158","8","172.253.53.127","6","142.251.252.159","6","172.217.172.142","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 02:03:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","26","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","6","*","0","*","0","*","0","142.250.208.12","7","172.253.53.125","6","142.251.252.159","6","172.217.172.142","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 02:03:36","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","238","True","53","Aceitável","165.225.214.99","19","165.225.214.3","17","8.243.34.13","19","200.189.213.6","26","8.243.145.162","20","*","0","192.178.253.82","18","192.178.84.58","18","142.251.134.46","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 02:06:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","60","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","5","*","0","74.125.52.64","8","142.251.228.185","7","142.250.230.117","6","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 02:09:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","37","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","27","*","0","74.125.52.64","8","142.251.228.185","7","142.250.230.117","5","172.217.30.110","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 02:12:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","90","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","88","*","0","*","0","*","0","142.250.237.128","6","172.253.53.127","6","209.85.253.1","5","172.217.172.142","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 02:15:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","56","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","5","*","0","74.125.52.64","6","142.250.63.175","9","108.170.241.55","6","172.217.29.46","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
