"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms"
"2025-11-06 01:55:11","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","21","True","100","Excelente",,,"100.120.32.77","4","100.120.25.221","4","100.120.26.35","11","72.14.198.152","11","142.251.69.137","38","209.85.244.85","19","142.250.219.206","11",,,,
"2025-11-06 01:57:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","79","True","67","Aceitável","10.13.0.1","17","177.195.26.9","17","200.249.20.229","20","200.244.211.235","71","200.244.18.8","69","201.39.52.58","68","142.250.227.145","75","142.251.48.153","96","142.250.219.46","78",,
"2025-11-06 02:00:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","83","True","68","Aceitável","10.13.0.1","16","177.195.26.9","21","200.249.20.229","30","200.244.211.235","76","200.244.18.8","72","201.39.52.58","76","142.250.227.145","74","142.251.48.153","71","142.250.219.46","75",,
"2025-11-06 02:03:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","94","True","100","Excelente","10.13.0.1","13","177.195.26.9","43","200.249.20.249","26","200.244.80.14","21","200.244.211.235","68","200.244.18.8","80","201.39.52.58","81","142.250.214.29","75","216.239.42.205","81","172.217.162.206","70"
"2025-11-06 02:06:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","86","True","66","Aceitável","10.13.0.1","19","177.195.26.9","20","200.249.20.229","15","200.244.211.235","77","200.244.18.8","76","201.39.52.58","78","142.250.227.145","77","142.251.48.153","92","142.250.219.46","79",,
"2025-11-06 02:09:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","73","True","100","Excelente","10.13.0.1","8","177.195.26.9","10","200.179.185.5","8","200.244.80.14","17","200.244.211.235","67","200.244.18.8","65","201.39.52.58","63","142.250.214.91","66","142.251.48.163","68","142.250.218.238","69"
"2025-11-06 02:12:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","72","True","100","Excelente","10.13.0.1","8","177.195.26.9","23","200.179.185.5","9","200.244.80.14","18","200.244.211.235","65","200.244.18.8","63","201.39.52.58","62","142.250.213.133","62","216.239.42.207","66","142.251.132.238","65"
"2025-11-06 02:15:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","77","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.179.185.5","7","200.244.80.14","18","200.244.211.235","67","200.244.18.8","64","201.39.52.58","64","142.250.214.91","70","142.251.48.163","67","142.250.218.238","67"
"2025-11-06 02:18:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","75","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.179.185.5","8","200.244.80.14","17","200.244.211.235","64","200.244.18.8","63","201.39.52.58","63","142.250.213.133","63","216.239.42.207","66","142.251.132.238","66"
"2025-11-06 02:21:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","75","True","100","Excelente","10.13.0.1","8","177.195.26.9","24","200.249.20.249","7","200.244.80.14","17","200.244.211.235","65","200.244.18.8","64","201.39.52.58","63","142.250.214.29","65","216.239.42.205","67","172.217.162.206","63"
"2025-11-06 02:24:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","91","True","100","Excelente","10.13.0.1","8","177.195.26.9","8","200.249.20.249","7","200.244.80.14","17","200.244.211.235","65","200.244.18.8","82","201.39.52.58","63","142.250.214.29","66","216.239.42.205","67","172.217.162.206","63"
"2025-11-06 02:27:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","73","True","100","Excelente","10.13.0.1","7","177.195.26.9","19","200.179.185.5","8","200.244.80.14","19","200.244.211.235","65","200.244.18.8","64","201.39.52.58","63","142.250.214.91","65","142.251.48.163","68","142.250.218.238","68"
"2025-11-06 02:30:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","73","True","100","Excelente","10.13.0.1","7","177.195.26.9","37","200.179.185.5","7","200.244.80.14","18","200.244.211.235","65","200.244.18.8","65","201.39.52.58","63","142.250.214.91","66","142.251.48.163","68","142.250.218.238","68"
"2025-11-06 02:33:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","71","True","100","Excelente","10.13.0.1","8","177.195.26.9","9","200.179.185.9","8","200.244.80.14","18","200.244.211.235","64","200.244.18.8","63","201.39.52.58","62","142.250.214.91","64","142.251.48.147","65","142.250.78.174","65"
"2025-11-06 02:36:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","76","True","100","Excelente","10.13.0.1","7","177.195.26.9","8","200.179.185.5","7","200.244.80.14","17","200.244.211.235","67","200.244.18.8","66","201.39.52.58","63","142.250.214.91","66","142.251.48.163","69","142.250.218.238","68"
"2025-11-06 02:39:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","69","True","100","Excelente","10.13.0.1","7","177.195.26.9","37","200.179.185.5","8","200.244.80.14","18","200.244.211.235","65","200.244.18.8","65","201.39.52.58","63","142.250.214.91","65","142.251.48.163","67","142.250.218.238","67"
"2025-11-06 02:42:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","70","True","100","Excelente","10.13.0.1","7","177.195.26.9","27","200.249.20.229","8","200.244.211.235","68","200.244.18.8","95","201.39.52.58","65","142.250.214.91","67","142.251.245.47","70","142.250.219.14","69",,
"2025-11-06 02:45:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","81","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.179.185.5","8","200.244.80.14","19","200.244.211.235","66","200.244.18.8","63","201.39.52.58","64","142.250.214.91","65","142.251.48.163","67","142.250.218.238","67"
"2025-11-06 02:47:44","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","29","True","100","Excelente",,,"100.120.32.77","4","100.120.25.221","5","100.120.26.35","11","72.14.198.152","11","142.251.69.137","36","209.85.244.85","19","142.250.219.206","10",,,,
